Knowledge development,Knowledge diffusion,Entrepreneurial activities,Guidance of the search,Market formation,Resource mobilisation,Legitimation
5.897371322408986,3.392903161707667,1.6393144990667274,1.6135996227077154,1.0584427355095796,2.5491030728395283,2.0394188798340678
5.389388559063052,3.6167003221678082,1.6133294370142666,2.26151004714419,1.50381074130468,2.467945885561698,2.2814487415925293
6.018150830480554,3.441571363372914,1.1253920616778035,2.58908011559519,1.1405439458093045,2.975895378009768,2.1705509766416866
6.718423885126421,3.8662508281676717,1.7318336887054953,3.104768237647284,1.2271707794152917,3.2664155707131104,1.3610429009035414
5.312677300221331,4.518307118877147,1.0,3.716913628624815,1.415217181991315,2.8434234720673084,1.9068898489860364
5.312690434440656,3.337374705715277,1.2383262696958686,3.485895160360235,1.1823109779453178,3.0057718755852316,2.326389774542122
6.763370252405913,4.400492298661049,1.0,2.1744726410867603,1.0,2.391297883846793,2.209020161218965
6.1139477833223275,3.3309967565918672,2.1234506067851258,2.739801416484043,1.5121762513660642,2.5627024030695673,1.6090647897263877
5.124420491252038,3.2914236725018693,1.4073802024218818,3.0534629120917964,1.5764786489745153,3.24286603679982,2.20795173713222
5.934048034868772,4.2911567710059275,2.366753613926525,2.8164550128874506,1.0,2.7633557301291143,2.45744462590222
5.12926584575003,4.35316182680457,1.821179970607798,2.811493341892194,1.0,2.378985062118592,1.5118504818947751
5.127416197143795,4.310845962057592,1.67923928534041,1.7940796727420099,1.8071638852456533,2.5162752773936874,1.0198831306937155
5.693569817252827,3.010521555069115,1.2655089222876001,2.1930860942022514,1.2696104035511735,3.018575645152275,2.8870316932035927
3.9693758042737617,3.5204294131567693,1.081459985725032,2.717942105602509,1.2010653819811095,3.0631135051620744,2.1576674570388716
4.120065733989573,4.293793155201993,1.7091886295587781,1.0,1.072084977885129,2.078934429190113,1.7713540855544028
5.050169976607222,3.8249251043383365,1.4713943962908071,3.448451024006898,1.0,2.6812956375234354,1.7542223525196887
4.689735103732461,3.1557842922815214,1.0,2.0391246302022514,1.1416747073080848,2.496078578723344,2.073395268761886
5.7513978660762195,4.074990763475265,1.0,3.4807866932855966,1.4923268217497132,2.4672320759481456,2.5205092052607796
4.773580739583031,3.3711156446051174,1.1165185083425664,3.419241203129637,1.1952966121857003,3.165153975215358,1.245105931564257
4.370157038931767,4.876714909035327,2.228386890106492,2.619414869821331,1.3830852257679145,2.381230930053037,1.799527720088128
6.672519015137244,4.726904877450955,2.3853111672045215,3.700383827991076,1.7297121445519688,2.212211448362439,2.826983709977287
5.319378959610772,4.16245845581334,1.581995658923564,3.5202381414474533,1.0258565458661422,2.092504347815743,2.4123094779100502
5.554022563750339,4.616604022861864,1.5595771184965153,2.7837269704157515,1.2908624701975324,2.4127265343971778,2.3696538602773796
4.360201451029234,3.8388748100740284,1.3654718512681916,2.704768269365811,1.5013180682807032,2.1323768656109223,2.2038482556894468
5.0644938203798535,4.259262496625009,1.126205860676199,3.7680629499650498,1.0,2.067609118730474,2.155240638266252
5.588738071767893,4.686632177181245,2.0500716230428977,3.162409687585365,1.2534158484197413,2.055014937166453,1.7659124480891275
4.579205138062157,3.9472992090765873,2.2494305575588545,3.7312880178576995,1.7616973573879082,2.0847286479466005,1.7208917412179872
5.800558414676537,3.6468876970914295,1.1426323656642858,1.3277181479530842,1.0979248858620552,2.1195838054913296,2.4030662237801828
5.019489048064956,2.7772268250937304,1.4668646486301593,3.0689395679136235,1.5205039614011369,2.6995263608292706,1.730196218056362
5.266645000165378,3.7501198845671033,1.320053479715933,1.895813639121439,1.1576589368370684,1.520008738696431,2.141916290897431
5.0186347102164826,4.294053910737387,1.3319043700540092,2.9819480447592657,1.7398761051950968,2.149123376008238,2.075867745662531
6.98182254760715,4.367380056540577,1.974363302171945,3.4996741458421186,1.0,2.4499350463208835,3.0959437912420986
5.489202220209653,4.102619039431046,1.0,4.217398102024372,1.2194868573030853,3.0743123100890695,1.9197888518316557
4.6538312568352795,3.475220543022656,1.6865878763745226,2.3432832900939697,1.0,2.377036480461708,2.5842316561260015
6.158035929682551,2.6139070586314457,1.7912952429223463,2.632006636288612,1.0,2.423338316058663,2.3536525528319574
4.523325080023183,3.5028709411971586,1.4431395305592722,2.9331269650471237,1.0,2.45602664801094,1.941378556293834
5.667090876003805,3.617393077367629,1.8572271307947092,2.3178282289766767,1.1199131078598437,1.5881561731111369,1.3780063321197202
